date,revenue,orders,avg_order_value,returns,channel,day_type
2022-01-01,5353.553806939527,44,111.65397538532243,5,Store,Weekend
2022-01-02,5312.491447411094,59,124.11872591678735,2,Online,Weekend
2022-01-03,5023.784771598345,46,120.30180471431805,5,Online,Weekday
2022-01-04,4755.479721074626,47,120.19857493915444,3,Store,Weekday
2022-01-05,5174.627358593686,46,121.65505478749358,5,Online,Weekday
2022-01-06,5230.966409491859,60,104.37068477223919,3,Store,Weekday
2022-01-07,5291.954683565696,55,100.48277630555259,6,Online,Weekday
2022-01-08,5551.377544585035,48,113.09225624767501,1,Online,Weekend
2022-01-09,5620.234516253499,58,110.98121427149533,1,Online,Weekend
2022-01-10,5175.354379614062,54,95.36400644892609,4,Online,Weekday
2022-01-11,5207.743250948272,55,106.07235113212403,3,Online,Weekday
2022-01-12,5119.393806399846,52,99.47355299823109,7,Store,Weekday
2022-01-13,5679.853700821382,50,87.19100637309916,2,Store,Weekday
2022-01-14,5943.489058509646,56,119.35691112064525,0,Online,Weekday
2022-01-15,5452.820953639223,52,100.82798863795134,2,Mobile,Weekend
2022-01-16,5513.277420814876,64,130.73062386548276,3,Store,Weekend
2022-01-17,6063.9510821379035,49,75.6176159470025,2,Mobile,Weekday
2022-01-18,5813.63222172572,64,91.6483184073495,3,Store,Weekday
2022-01-19,5830.713160752895,56,100.48958255036307,3,Store,Weekday
2022-01-20,5380.264371592611,58,117.06071646443371,1,Online,Weekday
2022-01-21,5978.664219972053,61,105.99204058903277,4,Online,Weekday
2022-01-22,5533.611342199816,54,104.65709131271127,4,Online,Weekend
2022-01-23,5509.243030000859,62,83.0910431116878,4,Store,Weekend
2022-01-24,5782.2953394572005,45,82.64587904155793,3,Online,Weekday
2022-01-25,5747.238161377339,55,104.83756990434857,2,Store,Weekday
2022-01-26,5892.907296909121,54,79.53841009272463,2,Online,Weekday
2022-01-27,5563.256694743387,53,92.02183374566008,2,Mobile,Weekday
2022-01-28,6319.103575421123,59,107.51375993628787,0,Online,Weekday
2022-01-29,6405.40643016063,62,85.26513591584836,4,Online,Weekend
2022-01-30,5518.264937989333,64,124.0803394354271,2,Online,Weekend
2022-01-31,6431.08844201992,62,118.35904516356835,4,Online,Weekday
2022-02-01,5929.183298757721,58,76.42870002492549,2,Online,Weekday
2022-02-02,6463.923875825936,63,86.0144313522702,7,Store,Weekday
